"period","respondent","respondent-name","fueltype","type-name","value","value-units"
"2026-09-11T21","CISO","California Independent System Operator","WAT","Hydro","878","megawatthours"
"2026-09-11T21","CISO","California Independent System Operator","WND","Wind","4926","megawatthours"
"2026-09-11T20","CISO","California Independent System Operator","GEO","Geothermal","755","megawatthours"
"2026-09-11T20","CISO","California Independent System Operator","SUN","Solar","20257","megawatthours"
"2026-09-11T20","CISO","California Independent System Operator","WAT","Hydro","968","megawatthours"
"2026-09-11T20","CISO","California Independent System Operator","WND","Wind","4751","megawatthours"
"2026-09-11T19","CISO","California Independent System Operator","GEO","Geothermal","764","megawatthours"
"2026-09-11T19","CISO","California Independent System Operator","SUN","Solar","20304","megawatthours"
"2026-09-11T19","CISO","California Independent System Operator","WAT","Hydro","1031","megawatthours"
"2026-09-11T19","CISO","California Independent System Operator","WND","Wind","4572","megawatthours"
"2026-09-11T18","CISO","California Independent System Operator","GEO","Geothermal","781","megawatthours"
"2026-09-11T18","CISO","California Independent System Operator","SUN","Solar","19823","megawatthours"
"2026-09-11T18","CISO","California Independent System Operator","WAT","Hydro","1049","megawatthours"
"2026-09-11T18","CISO","California Independent System Operator","WND","Wind","4836","megawatthours"
"2026-09-11T17","CISO","California Independent System Operator","GEO","Geothermal","768","megawatthours"
"2026-09-11T17","CISO","California Independent System Operator","SUN","Solar","18934","megawatthours"
"2026-09-11T17","CISO","California Independent System Operator","WAT","Hydro","1075","megawatthours"
"2026-09-11T17","CISO","California Independent System Operator","WND","Wind","5219","megawatthours"
"2026-09-11T16","CISO","California Independent System Operator","GEO","Geothermal","766","megawatthours"
"2026-09-11T16","CISO","California Independent System Operator","SUN","Solar","15267","megawatthours"
"2026-09-11T16","CISO","California Independent System Operator","WAT","Hydro","1414","megawatthours"
"2026-09-11T16","CISO","California Independent System Operator","WND","Wind","5172","megawatthours"
"2026-09-11T15","CISO","California Independent System Operator","GEO","Geothermal","774","megawatthours"
"2026-09-11T15","CISO","California Independent System Operator","SUN","Solar","5979","megawatthours"
"2026-09-11T15","CISO","California Independent System Operator","WAT","Hydro","1726","megawatthours"
"2026-09-11T15","CISO","California Independent System Operator","WND","Wind","5719","megawatthours"
"2026-09-11T14","CISO","California Independent System Operator","GEO","Geothermal","768","megawatthours"
"2026-09-11T14","CISO","California Independent System Operator","SUN","Solar","209","megawatthours"
"2026-09-11T14","CISO","California Independent System Operator","WAT","Hydro","1973","megawatthours"
"2026-09-11T14","CISO","California Independent System Operator","WND","Wind","5999","megawatthours"
"2026-09-11T13","CISO","California Independent System Operator","GEO","Geothermal","769","megawatthours"
"2026-09-11T13","CISO","California Independent System Operator","SUN","Solar","-58","megawatthours"
"2026-09-11T13","CISO","California Independent System Operator","WAT","Hydro","1944","megawatthours"
"2026-09-11T13","CISO","California Independent System Operator","WND","Wind","6316","megawatthours"
"2026-09-11T12","CISO","California Independent System Operator","GEO","Geothermal","765","megawatthours"
"2026-09-11T12","CISO","California Independent System Operator","SUN","Solar","-58","megawatthours"
"2026-09-11T12","CISO","California Independent System Operator","WAT","Hydro","1938","megawatthours"
"2026-09-11T12","CISO","California Independent System Operator","WND","Wind","6257","megawatthours"
"2026-09-11T11","CISO","California Independent System Operator","GEO","Geothermal","766","megawatthours"
"2026-09-11T11","CISO","California Independent System Operator","SUN","Solar","-58","megawatthours"
"2026-09-11T11","CISO","California Independent System Operator","WAT","Hydro","1954","megawatthours"
"2026-09-11T11","CISO","California Independent System Operator","WND","Wind","6338","megawatthours"
"2026-09-11T10","CISO","California Independent System Operator","GEO","Geothermal","767","megawatthours"
"2026-09-11T10","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-11T10","CISO","California Independent System Operator","WAT","Hydro","2005","megawatthours"
"2026-09-11T10","CISO","California Independent System Operator","WND","Wind","5993","megawatthours"
"2026-09-11T09","CISO","California Independent System Operator","GEO","Geothermal","756","megawatthours"
"2026-09-11T09","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-11T09","CISO","California Independent System Operator","WAT","Hydro","2061","megawatthours"
"2026-09-11T09","CISO","California Independent System Operator","WND","Wind","6191","megawatthours"
"2026-09-11T08","CISO","California Independent System Operator","GEO","Geothermal","752","megawatthours"
"2026-09-11T08","CISO","California Independent System Operator","SUN","Solar","-57","megawatthours"
"2026-09-11T08","CISO","California Independent System Operator","WAT","Hydro","2366","megawatthours"
"2026-09-11T08","CISO","California Independent System Operator","WND","Wind","6268","megawatthours"
