"period","respondent","respondent-name","fueltype","type-name","value","value-units","type"
"2026-08-31T15","US48","United States Lower 48",NA,"Demand","570474","megawatthours","D"
"2026-08-31T14","US48","United States Lower 48",NA,"Demand","541500","megawatthours","D"
"2026-08-31T13","US48","United States Lower 48",NA,"Demand","518833","megawatthours","D"
"2026-08-31T12","US48","United States Lower 48",NA,"Demand","504107","megawatthours","D"
"2026-08-31T11","US48","United States Lower 48",NA,"Demand","489595","megawatthours","D"
"2026-08-31T10","US48","United States Lower 48",NA,"Demand","474427","megawatthours","D"
"2026-08-31T09","US48","United States Lower 48",NA,"Demand","469998","megawatthours","D"
"2026-08-31T08","US48","United States Lower 48",NA,"Demand","477180","megawatthours","D"
"2026-08-31T07","US48","United States Lower 48",NA,"Demand","491801","megawatthours","D"
"2026-08-31T06","US48","United States Lower 48",NA,"Demand","513518","megawatthours","D"
"2026-08-31T05","US48","United States Lower 48",NA,"Demand","540364","megawatthours","D"
"2026-08-31T04","US48","United States Lower 48",NA,"Demand","571274","megawatthours","D"
"2026-08-31T03","US48","United States Lower 48",NA,"Demand","605162","megawatthours","D"
"2026-08-31T02","US48","United States Lower 48",NA,"Demand","635976","megawatthours","D"
"2026-08-31T01","US48","United States Lower 48",NA,"Demand","656579","megawatthours","D"
"2026-08-31T00","US48","United States Lower 48",NA,"Demand","669362","megawatthours","D"
"2026-08-30T23","US48","United States Lower 48",NA,"Demand","676389","megawatthours","D"
"2026-08-30T22","US48","United States Lower 48",NA,"Demand","675646","megawatthours","D"
"2026-08-30T21","US48","United States Lower 48",NA,"Demand","666344","megawatthours","D"
"2026-08-30T20","US48","United States Lower 48",NA,"Demand","652519","megawatthours","D"
"2026-08-30T19","US48","United States Lower 48",NA,"Demand","635965","megawatthours","D"
"2026-08-30T18","US48","United States Lower 48",NA,"Demand","611528","megawatthours","D"
"2026-08-30T17","US48","United States Lower 48",NA,"Demand","581762","megawatthours","D"
"2026-08-30T16","US48","United States Lower 48",NA,"Demand","546677","megawatthours","D"
"2026-08-30T15","US48","United States Lower 48",NA,"Demand","509432","megawatthours","D"
"2026-08-30T14","US48","United States Lower 48",NA,"Demand","479794","megawatthours","D"
"2026-08-30T13","US48","United States Lower 48",NA,"Demand","457689","megawatthours","D"
"2026-08-30T12","US48","United States Lower 48",NA,"Demand","445391","megawatthours","D"
"2026-08-30T11","US48","United States Lower 48",NA,"Demand","444080","megawatthours","D"
"2026-08-30T10","US48","United States Lower 48",NA,"Demand","445917","megawatthours","D"
"2026-08-30T09","US48","United States Lower 48",NA,"Demand","452053","megawatthours","D"
"2026-08-30T08","US48","United States Lower 48",NA,"Demand","463360","megawatthours","D"
"2026-08-30T07","US48","United States Lower 48",NA,"Demand","479598","megawatthours","D"
"2026-08-30T06","US48","United States Lower 48",NA,"Demand","500105","megawatthours","D"
"2026-08-30T05","US48","United States Lower 48",NA,"Demand","523246","megawatthours","D"
"2026-08-30T04","US48","United States Lower 48",NA,"Demand","551492","megawatthours","D"
"2026-08-30T03","US48","United States Lower 48",NA,"Demand","580402","megawatthours","D"
"2026-08-30T02","US48","United States Lower 48",NA,"Demand","608473","megawatthours","D"
"2026-08-30T01","US48","United States Lower 48",NA,"Demand","630573","megawatthours","D"
"2026-08-30T00","US48","United States Lower 48",NA,"Demand","647015","megawatthours","D"
"2026-08-29T23","US48","United States Lower 48",NA,"Demand","659204","megawatthours","D"
"2026-08-29T22","US48","United States Lower 48",NA,"Demand","660181","megawatthours","D"
