"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-06","GA","Georgia","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","GA","Georgia","RES","residential","4914055","16.36","965.77409","5902.34388","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","GA","Georgia","TRA","transportation","1","7.67","1.05738","13.78021","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","HI","Hawaii","ALL","all sectors","512453","47.55","351.55955","739.37917","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","HI","Hawaii","COM","commercial","60055","48.05","108.23977","225.27389","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","HI","Hawaii","IND","industrial","873","43.37","128.51058","296.33631","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","HI","Hawaii","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","HI","Hawaii","RES","residential","451525","52.72","114.80921","217.76897","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","HI","Hawaii","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IA","Iowa","ALL","all sectors","1750818","11.25","585.12926","5201.75812","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IA","Iowa","COM","commercial","256230","12.79","145.76719","1139.76722","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IA","Iowa","IND","industrial","9530","8.48","236.70584","2790.19709","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IA","Iowa","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IA","Iowa","RES","residential","1485058","15.93","202.65623","1271.79381","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IA","Iowa","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ID","Idaho","ALL","all sectors","1064753","11.33","285.95709","2523.01027","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ID","Idaho","COM","commercial","128134","9.92","60.47738","609.44479","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ID","Idaho","IND","industrial","30036","10.23","122.0844","1193.97577","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ID","Idaho","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ID","Idaho","RES","residential","906583","14.37","103.3953","719.58972","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ID","Idaho","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IL","Illinois","ALL","all sectors","6068520","15.08","1739.69832","11533.84154","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IL","Illinois","COM","commercial","644972","14.53","568.73501","3914.20982","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IL","Illinois","IND","industrial","5553","10.65","393.13941","3692.62994","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IL","Illinois","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IL","Illinois","RES","residential","5417992","19.89","773.89438","3891.78295","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IL","Illinois","TRA","transportation","3","11.16","3.92952","35.21883","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IN","Indiana","ALL","all sectors","3434964","13.01","1196.96381","9198.71107","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IN","Indiana","COM","commercial","378045","14.15","348.28527","2461.27772","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IN","Indiana","IND","industrial","19252","9","350.11851","3889.42189","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IN","Indiana","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IN","Indiana","RES","residential","3037666","17.51","498.3286","2845.86334","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","IN","Indiana","TRA","transportation","1","10.77",".23143","2.14812","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KS","Kansas","ALL","all sectors","1633608","12.46","492.632","3954.43382","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KS","Kansas","COM","commercial","251796","12.27","187.14168","1524.71672","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KS","Kansas","IND","industrial","23999","8.21","83.43581","1015.91444","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KS","Kansas","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KS","Kansas","RES","residential","1357813","15.71","222.05451","1413.80265","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KS","Kansas","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KY","Kentucky","ALL","all sectors","2364575","11.13","730.46654","6564.83471","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KY","Kentucky","COM","commercial","330023","12.4","233.35708","1881.39559","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KY","Kentucky","IND","industrial","4686","7.15","171.93321","2403.01353","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KY","Kentucky","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KY","Kentucky","RES","residential","2029866","14.26","325.17625","2280.42559","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","KY","Kentucky","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","LA","Louisiana","ALL","all sectors","2502107","10.18","903.1727","8875.13173","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","LA","Louisiana","COM","commercial","305568","11.64","251.4219","2159.35084","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","LA","Louisiana","IND","industrial","16124","6.69","250.00607","3737.66659","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","LA","Louisiana","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","LA","Louisiana","RES","residential","2180414","13.49","401.65162","2977.28053","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","LA","Louisiana","TRA","transportation","1","11.17",".09311",".83377","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MA","Massachusetts","ALL","all sectors","3451054","25.72","1125.20678","4374.85559","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
