"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-Q2","LA","Louisiana","TRA","transportation","1","11.73",".2694","2.29721","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MA","Massachusetts","ALL","all sectors","3362767","25.39","3030.1925","11934.27512","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MA","Massachusetts","COM","commercial","426448","24.21","1402.42971","5792.36366","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MA","Massachusetts","IND","industrial","9523","19.16","296.71452","1548.2286","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MA","Massachusetts","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MA","Massachusetts","RES","residential","2926794","29.32","1324.24982","4516.45692","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MA","Massachusetts","TRA","transportation","2","8.8","6.79848","77.22596","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MAT","Middle Atlantic","ALL","all sectors","19362667","19.43","16024.45056","82477.65375","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MAT","Middle Atlantic","COM","commercial","2457872","18.95","6654.30379","35123.86333","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MAT","Middle Atlantic","IND","industrial","38800","10.37","1742.94578","16807.33393","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MAT","Middle Atlantic","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MAT","Middle Atlantic","RES","residential","16865977","25.23","7478.5478","29641.70055","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MAT","Middle Atlantic","TRA","transportation","18","16.43","148.65321","904.75596","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MD","Maryland","ALL","all sectors","2755277","18.63","2511.79824","13483.66212","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MD","Maryland","COM","commercial","262909","16.57","1099.16076","6633.27255","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MD","Maryland","IND","industrial","9408","13.01","114.31057","878.37756","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MD","Maryland","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MD","Maryland","RES","residential","2482954","21.89","1281.49544","5854.72558","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MD","Maryland","TRA","transportation","5","14.35","16.83149","117.28644","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ME","Maine","ALL","all sectors","864965","23.5","629.38633","2678.12965","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ME","Maine","COM","commercial","109385","22.85","210.59185","921.54148","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ME","Maine","IND","industrial","1734","14.52","88.9868","612.77491","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ME","Maine","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ME","Maine","RES","residential","753847","28.83","329.80768","1143.81327","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ME","Maine","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MI","Michigan","ALL","all sectors","5134364","16.02","3817.00772","23821.18409","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MI","Michigan","COM","commercial","572514","16.11","1459.10778","9058.10056","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MI","Michigan","IND","industrial","5757","9.21","651.81124","7079.81991","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MI","Michigan","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MI","Michigan","RES","residential","4556092","22.21","1705.88991","7682.06535","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MI","Michigan","TRA","transportation","2","16.59",".19878","1.19827","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MN","Minnesota","ALL","all sectors","2960629","13.39","2097.51955","15659.6816","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MN","Minnesota","COM","commercial","312618","13.04","735.14729","5638.48469","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MN","Minnesota","IND","industrial","9502","9.96","481.20681","4830.36343","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MN","Minnesota","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MN","Minnesota","RES","residential","2638507","16.98","880.72888","5187.64472","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MN","Minnesota","TRA","transportation","1","13.69",".4366","3.18878","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MO","Missouri","ALL","all sectors","3326160","12.25","2298.0271","18762.60779","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MO","Missouri","COM","commercial","407382","11.22","851.59912","7591.97948","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MO","Missouri","IND","industrial","9312","8.67","294.78601","3400.91552","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MO","Missouri","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MO","Missouri","RES","residential","2909464","14.83","1150.98535","7763.58293","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MO","Missouri","TRA","transportation","2","10.71",".65664","6.12987","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MS","Mississippi","ALL","all sectors","1623352","12.32","1496.95743","12152.1867","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MS","Mississippi","COM","commercial","250335","13.92","493.21807","3544.18132","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MS","Mississippi","IND","industrial","12505","7.75","342.52932","4419.94985","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MS","Mississippi","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
